source_table,repository_id,repository_name,repository_url,application_flow,application,reason,processing_host,model,run_id,pcap_path,cicflowmeter_csv_path,egress_bytes,total_forward_bytes,egress_percentage,egress_packets,internet_flow_count,internet_destinations,updated_at
agent_traffic_parameters,120969,samanhappy/mcphub,https://github.com/samanhappy/mcphub,"{""host_num"": 5, ""pcap_size"": 16.294824600219727, ""flow_count"": 36, ""tcp_traffic"": {""443"": {""hosts"": 4, ""n_packets"": 8751, ""flow_count"": 34, ""total_size"": 16880202, ""traffic_end"": 58.61782121658325, ""iana_mapping"": ""https"", ""traffic_start"": 0.35399770736694336, ""tshark_parsing"": [""tls"", ""x509ce""], ""traffic_duration"": 58.26382350921631}, ""5432"": {""hosts"": 2, ""n_packets"": 203, ""flow_count"": 1, ""total_size"": 61691, ""traffic_end"": 50.4221715927124, ""iana_mapping"": ""postgresql"", ""traffic_start"": 0.03904914855957031, ""tshark_parsing"": [""pgsql""], ""traffic_duration"": 50.38312244415283}}, ""udp_traffic"": {""5353"": {""hosts"": 0, ""n_packets"": 3, ""time_seen"": 1773661052.130952, ""flow_count"": 1, ""total_size"": 321, ""traffic_end"": 53.20770192146301, ""iana_mapping"": ""mdns"", ""traffic_start"": 5.20570182800293, ""tshark_parsing"": [""mdns""], ""traffic_duration"": 48.00200009346008}}, ""hostname_info"": [{""ip"": ""104.16.11.34"", ""source"": ""TLS_SNI"", ""hostname"": ""registry.npmjs.org""}, {""ip"": ""104.16.4.34"", ""source"": ""TLS_SNI"", ""hostname"": ""registry.npmjs.org""}, {""ip"": ""104.16.6.34"", ""source"": ""TLS_SNI"", ""hostname"": ""registry.npmjs.org""}]}",postgresql,Persistent TCP/5432 traffic with tshark parsing 'pgsql' (203 packets over ~50s) indicates active PostgreSQL application traffic beyond initial download/DNS.,cartwheel,gpt-5.1-codex-mini,1,/home/bingcheng/dynamov2/stage3/pcap/120969_samanhappy_mcphub_cartwheel_gpt-5.1-codex-mini_1.pcap,/mnt/NAS/dynamov2/cicflowmeter_output/120969_samanhappy_mcphub_cartwheel_gpt-5.1-codex-mini_1.csv,360808,401765,89.81,3842,57,3,2026-03-16T13:55:41.625450
agent_traffic_parameters,80836,bneijt/ipfs-video-gateway,https://github.com/bneijt/ipfs-video-gateway,"{""host_num"": 170, ""pcap_size"": 2.5740041732788086, ""flow_count"": 279, ""tcp_traffic"": {""1029"": {""hosts"": 1, ""n_packets"": 2, ""flow_count"": 1, ""total_size"": 148, ""traffic_end"": 24.88399887084961, ""iana_mapping"": ""solid-mux"", ""traffic_start"": 23.87930679321289, ""tshark_parsing"": [], ""traffic_duration"": 1.0046920776367188}, ""1070"": {""hosts"": 1, ""n_packets"": 1, ""flow_count"": 1, ""total_size"": 74, ""traffic_end"": 26.454391956329346, ""iana_mapping"": ""gmrupdateserv"", ""traffic_start"": 26.454391956329346, ""tshark_parsing"": [], ""traffic_duration"": 0.0}, ""4001"": {""hosts"": 136, ""n_packets"": 8119, ""flow_count"": 209, ""total_size"": 1531136, ""traffic_end"": 59.85873484611511, ""iana_mapping"": ""newoak"", ""traffic_start"": 0.04629945755004883, ""tshark_parsing"": [""data"", ""hipercontracer"", ""tls""], ""traffic_duration"": 59.81243538856506}, ""8416"": {""hosts"": 1, ""n_packets"": 1, ""flow_count"": 1, ""total_size"": 74, ""traffic_end"": 24.19809365272522, ""iana_mapping"": ""espeech"", ""traffic_start"": 24.19809365272522, ""tshark_parsing"": [], ""traffic_duration"": 0.0}, ""11768"": {""hosts"": 2, ""n_packets"": 3, ""flow_count"": 2, ""total_size"": 202, ""traffic_end"": 59.858664751052856, ""iana_mapping"": ""unknown"", ""traffic_start"": 1.8306126594543457, ""tshark_parsing"": [], ""traffic_duration"": 58.02805209159851}, ""13964"": {""hosts"": 2, ""n_packets"": 2, ""flow_count"": 1, ""total_size"": 128, ""traffic_end"": 23.89790105819702, ""iana_mapping"": ""unknown"", ""traffic_start"": 23.69458031654358, ""tshark_parsing"": [], ""traffic_duration"": 0.20332074165344238}, ""32777"": {""hosts"": 2, ""n_packets"": 2, ""flow_count"": 1, ""total_size"": 128, ""traffic_end"": 21.186378717422485, ""iana_mapping"": ""filenet-obrok"", ""traffic_start"": 20.990875244140625, ""tshark_parsing"": [], ""traffic_duration"": 0.19550347328186035}, ""34613"": {""hosts"": 1, ""n_packets"": 1, ""flow_count"": 1, ""total_size"": 74, ""traffic_end"": 1.740626335144043, ""iana_mapping"": ""unknown"", ""traffic_start"": 1.740626335144043, ""tshark_parsing"": [], ""traffic_duration"": 0.0}, ""38498"": {""hosts"": 1, ""n_packets"": 3, ""flow_count"": 2, ""total_size"": 222, ""traffic_end"": 59.857982873916626, ""iana_mapping"": ""unknown"", ""traffic_start"": 10.889652013778687, ""tshark_parsing"": [], ""traffic_duration"": 48.96833086013794}, ""39332"": {""hosts"": 2, ""n_packets"": 2, ""flow_count"": 1, ""total_size"": 128, ""traffic_end"": 4.801864862442017, ""iana_mapping"": ""unknown"", ""traffic_start"": 4.654740571975708, ""tshark_parsing"": [], ""traffic_duration"": 0.1471242904663086}, ""39723"": {""hosts"": 2, ""n_packets"": 2, ""flow_count"": 1, ""total_size"": 128, ""traffic_end"": 23.901206254959106, ""iana_mapping"": ""unknown"", ""traffic_start"": 23.69616961479187, ""tshark_parsing"": [], ""traffic_duration"": 0.20503664016723633}, ""40829"": {""hosts"": 2, ""n_packets"": 2, ""flow_count"": 1, ""total_size"": 128, ""traffic_end"": 4.801870346069336, ""iana_mapping"": ""unknown"", ""traffic_start"": 4.654784440994263, ""tshark_parsing"": [], ""traffic_duration"": 0.14708590507507324}, ""41876"": {""hosts"": 2, ""n_packets"": 2, ""flow_count"": 1, ""total_size"": 128, ""traffic_end"": 2.3706130981445312, ""iana_mapping"": ""unknown"", ""traffic_start"": 2.0114364624023438, ""tshark_parsing"": [], ""traffic_duration"": 0.3591766357421875}, ""41975"": {""hosts"": 2, ""n_packets"": 3, ""flow_count"": 2, ""total_size"": 202, ""traffic_end"": 5.700338125228882, ""iana_mapping"": ""unknown"", ""traffic_start"": 5.050418376922607, ""tshark_parsing"": [], ""traffic_duration"": 0.6499197483062744}, ""43015"": {""hosts"": 1, ""n_packets"": 1, ""flow_count"": 1, ""total_size"": 74, ""traffic_end"": 59.85797047615051, ""iana_mapping"": ""unknown"", ""traffic_start"": 59.85797047615051, ""tshark_parsing"": [], ""traffic_duration"": 0.0}, ""44490"": {""hosts"": 1, ""n_packets"": 1, ""flow_count"": 1, ""total_size"": 74, ""traffic_end"": 24.19809365272522, ""iana_mapping"": ""unknown"", ""traffic_start"": 24.19809365272522, ""tshark_parsing"": [], ""traffic_duration"": 0.0}, ""44910"": {""hosts"": 2, ""n_packets"": 2, ""flow_count"": 1, ""total_size"": 128, ""traffic_end"": 4.346051216125488, ""iana_mapping"": ""unknown"", ""traffic_start"": 4.093668699264526, ""tshark_parsing"": [], ""traffic_duration"": 0.2523825168609619}, ""44941"": {""hosts"": 1, ""n_packets"": 1, ""flow_count"": 1, ""total_size"": 74, ""traffic_end"": 59.85797429084778, ""iana_mapping"": ""unknown"", ""traffic_start"": 59.85797429084778, ""tshark_parsing"": [], ""traffic_duration"": 0.0}, ""46275"": {""hosts"": 1, ""n_packets"": 1, ""flow_count"": 1, ""total_size"": 74, ""traffic_end"": 24.198092699050903, ""iana_mapping"": ""unknown"", ""traffic_start"": 24.198092699050903, ""tshark_parsing"": [], ""traffic_duration"": 0.0}, ""54529"": {""hosts"": 1, ""n_packets"": 2, ""flow_count"": 1, ""total_size"": 148, ""traffic_end"": 4.148028373718262, ""iana_mapping"": ""unknown"", ""traffic_start"": 3.1320903301239014, ""tshark_parsing"": [], ""traffic_duration"": 1.0159380435943604}, ""58630"": {""hosts"": 1, ""n_packets"": 1, ""flow_count"": 1, ""total_size"": 74, ""traffic_end"": 24.19810914993286, ""iana_mapping"": ""unknown"", ""traffic_start"": 24.19810914993286, ""tshark_parsing"": [], ""traffic_duration"": 0.0}, ""64556"": {""hosts"": 1, ""n_packets"": 1, ""flow_count"": 1, ""total_size"": 74, ""traffic_end"": 59.85871720314026, ""iana_mapping"": ""unknown"", ""traffic_start"": 59.85871720314026, ""tshark_parsing"": [], ""traffic_duration"": 0.0}, ""64907"": {""hosts"": 1, ""n_packets"": 1, ""flow_count"": 1, ""total_size"": 74, ""traffic_end"": 18.191394329071045, ""iana_mapping"": ""unknown"", ""traffic_start"": 18.191394329071045, ""tshark_parsing"": [], ""traffic_duration"": 0.0}}, ""udp_traffic"": {""4001"": {""hosts"": 62, ""n_packets"": 1821, ""time_seen"": 1773302914.2060611, ""flow_count"": 43, ""total_size"": 1000040, ""traffic_end"": 59.858558177948, ""iana_mapping"": ""newoak"", ""traffic_start"": 0.04669308662414551, ""tshark_parsing"": [""data"", ""quic"", ""tls""], ""traffic_duration"": 59.81186509132385}, ""5353"": {""hosts"": 1, ""n_packets"": 28, ""time_seen"": 1773302914.2655652, ""flow_count"": 2, ""total_size"": 4001, ""traffic_end"": 32.853638887405396, ""iana_mapping"": ""mdns"", ""traffic_start"": 0.10619711875915527, ""tshark_parsing"": [""mdns""], ""traffic_duration"": 32.74744176864624}}, ""hostname_info"": []}",http,"Large, continuous UDP/TCP flows across the entire capture with tshark parsing showing 'quic' and 'tls' (indicative of HTTP/3 over QUIC) and substantial data beyond initial download/DNS.",cartwheel,gpt-5.1-codex-mini,1,/home/bingcheng/dynamov2/stage3/pcap/80836_bneijt_ipfs-video-gateway_cartwheel_gpt-5.1-codex-mini_1.pcap,/mnt/NAS/dynamov2/cicflowmeter_output/80836_bneijt_ipfs-video-gateway_cartwheel_gpt-5.1-codex-mini_1.csv,912577,998742,91.37,5088,183,147,2026-03-16T13:49:44.907182
agent_traffic_parameters,74171,fhriley/docker-firefox,https://github.com/fhriley/docker-firefox,"{""host_num"": 10, ""pcap_size"": 7.44243049621582, ""flow_count"": 27, ""tcp_traffic"": {""80"": {""hosts"": 3, ""n_packets"": 63, ""flow_count"": 4, ""total_size"": 8967, ""traffic_end"": 53.34705972671509, ""iana_mapping"": ""http"", ""traffic_start"": 1.4536926746368408, ""tshark_parsing"": [""data-text-lines"", ""http"", ""ocsp""], ""traffic_duration"": 51.89336705207825}, ""443"": {""hosts"": 8, ""n_packets"": 2564, ""flow_count"": 21, ""total_size"": 7740210, ""traffic_end"": 32.44967246055603, ""iana_mapping"": ""https"", ""traffic_start"": 1.4931728839874268, ""tshark_parsing"": [""data"", ""ocsp"", ""tls"", ""x509ce""], ""traffic_duration"": 30.956499576568604}}, ""udp_traffic"": {""443"": {""hosts"": 2, ""n_packets"": 15, ""time_seen"": 1773584322.9232702, ""flow_count"": 1, ""total_size"": 8961, ""traffic_end"": 22.846983432769775, ""iana_mapping"": ""https"", ""traffic_start"": 22.59988760948181, ""tshark_parsing"": [""quic"", ""tls""], ""traffic_duration"": 0.24709582328796387}, ""5353"": {""hosts"": 0, ""n_packets"": 12, ""time_seen"": 1773584301.4477272, ""flow_count"": 1, ""total_size"": 1896, ""traffic_end"": 32.1441752910614, ""iana_mapping"": ""mdns"", ""traffic_start"": 1.1243445873260498, ""tshark_parsing"": [""mdns""], ""traffic_duration"": 31.01983070373535}}, ""hostname_info"": [{""ip"": ""142.250.194.106"", ""source"": ""TLS_SNI"", ""hostname"": ""safebrowsing.googleapis.com""}, {""ip"": ""146.75.45.91"", ""source"": ""TLS_SNI"", ""hostname"": ""aus5.mozilla.org""}, {""ip"": ""146.75.45.91"", ""source"": ""TLS_SNI"", ""hostname"": ""contile.services.mozilla.com""}, {""ip"": ""146.75.45.91"", ""source"": ""TLS_SNI"", ""hostname"": ""firefox-settings-attachments.cdn.mozilla.net""}, {""ip"": ""146.75.45.91"", ""source"": ""TLS_SNI"", ""hostname"": ""firefox.settings.services.mozilla.com""}, {""ip"": ""151.101.1.91"", ""source"": ""TLS_SNI"", ""hostname"": ""accounts.firefox.com""}, {""ip"": ""151.101.129.91"", ""source"": ""TLS_SNI"", ""hostname"": ""services.addons.mozilla.org""}, {""ip"": ""172.217.194.94"", ""source"": ""HTTP_HOST"", ""hostname"": ""o.pki.goog""}, {""ip"": ""199.232.115.19"", ""source"": ""TLS_SNI"", ""hostname"": ""archive.mozilla.org""}, {""ip"": ""34.107.221.82"", ""source"": ""HTTP_HOST"", ""hostname"": ""detectportal.firefox.com""}, {""ip"": ""34.107.243.93"", ""source"": ""TLS_SNI"", ""hostname"": ""push.services.mozilla.com""}, {""ip"": ""34.160.144.191"", ""source"": ""TLS_SNI"", ""hostname"": ""content-signature-2.cdn.mozilla.net""}]}",http,Sustained HTTP/HTTPS activity (large TLS flows on 443 and TCP port 80 flows lasting to 53s) with TLS SNI hostnames for Firefox services — indicates browser application traffic beyond initial download/DNS.,cartwheel,gpt-5.1-codex-mini,1,/home/bingcheng/dynamov2/stage3/pcap/74171_fhriley_docker-firefox_cartwheel_gpt-5.1-codex-mini_1.pcap,/mnt/NAS/dynamov2/cicflowmeter_output/74171_fhriley_docker-firefox_cartwheel_gpt-5.1-codex-mini_1.csv,112813,112813,100.0,1338,26,9,2026-03-16T13:49:32.756048
agent_traffic_parameters,59459,digitalservicebund/ris-backend-service,https://github.com/digitalservicebund/ris-backend-service,"{""host_num"": 4, ""pcap_size"": 22.342756271362305, ""flow_count"": 8, ""tcp_traffic"": {""443"": {""hosts"": 3, ""n_packets"": 4140, ""flow_count"": 7, ""total_size"": 23357962, ""traffic_end"": 59.87672781944275, ""iana_mapping"": ""https"", ""traffic_start"": 1.901893138885498, ""tshark_parsing"": [""tls""], ""traffic_duration"": 57.97483468055725}}, ""udp_traffic"": {""5353"": {""hosts"": 0, ""n_packets"": 12, ""time_seen"": 1773369899.7609508, ""flow_count"": 1, ""total_size"": 1896, ""traffic_end"": 32.51279139518738, ""iana_mapping"": ""mdns"", ""traffic_start"": 1.485579490661621, ""tshark_parsing"": [""mdns""], ""traffic_duration"": 31.027211904525757}}, ""hostname_info"": [{""ip"": ""172.253.118.207"", ""source"": ""TLS_SNI"", ""hostname"": ""storage.googleapis.com""}, {""ip"": ""34.120.177.193"", ""source"": ""TLS_SNI"", ""hostname"": ""grafana.com""}]}",http,"Sustained TLS on TCP/443 for ~58s with large byte volume and TLS SNI names (storage.googleapis.com, grafana.com) — indicates ongoing HTTPS application traffic beyond initial download; UDP mDNS is not application traffic.",cartwheel,gpt-5.1-codex-mini,1,/home/bingcheng/dynamov2/stage3/pcap/59459_digitalservicebund_ris-backend-service_cartwheel_gpt-5.1-codex-mini_1.pcap,/mnt/NAS/dynamov2/cicflowmeter_output/59459_digitalservicebund_ris-backend-service_cartwheel_gpt-5.1-codex-mini_1.csv,136047,136047,100.0,1828,13,2,2026-03-16T13:49:07.992336
traffic_parameters,116315,bittorrent/go-btfs,https://github.com/bittorrent/go-btfs,"{""host_num"": 6, ""pcap_size"": 19.415361404418945, ""flow_count"": 8, ""tcp_traffic"": {""80"": {""hosts"": 2, ""n_packets"": 1936, ""flow_count"": 2, ""total_size"": 9647260, ""traffic_end"": 2.2619950771331787, ""iana_mapping"": ""http"", ""traffic_start"": 0.8618240356445312, ""tshark_parsing"": [""data"", ""http"", ""media""], ""traffic_duration"": 1.4001710414886475}, ""443"": {""hosts"": 4, ""n_packets"": 2146, ""flow_count"": 4, ""total_size"": 10640513, ""traffic_end"": 25.92666792869568, ""iana_mapping"": ""https"", ""traffic_start"": 0.02121901512145996, ""tshark_parsing"": [""tls""], ""traffic_duration"": 25.90544891357422}}, ""udp_traffic"": {""5353"": {""hosts"": 1, ""n_packets"": 24, ""time_seen"": 1772536497.10775, ""flow_count"": 2, ""total_size"": 3585, ""traffic_end"": 33.05884408950806, ""iana_mapping"": ""mdns"", ""traffic_start"": 0.8340699672698975, ""tshark_parsing"": [""mdns""], ""traffic_duration"": 32.22477412223816}}, ""hostname_info"": [{""ip"": ""185.199.109.133"", ""source"": ""TLS_SNI"", ""hostname"": ""raw.githubusercontent.com""}, {""ip"": ""185.199.111.133"", ""source"": ""TLS_SNI"", ""hostname"": ""raw.githubusercontent.com""}, {""ip"": ""199.232.114.132"", ""source"": ""HTTP_HOST"", ""hostname"": ""deb.debian.org""}, {""ip"": ""20.205.243.166"", ""source"": ""TLS_SNI"", ""hostname"": ""github.com""}]}",http,Prolonged TLS/HTTPS activity (10.6MB on port 443 lasting ~25.9s) with TLS SNI hostnames (github/raw.githubusercontent/deb.debian.org) — persists beyond initial short HTTP download and MDNS.,andromeda,,0,/home/bingcheng/dynamov2/stage3/pcap/bittorrent_go-btfs_andromeda_run_0.pcap,/mnt/NAS/dynamov2/cicflowmeter_output/bittorrent_go-btfs_andromeda_run_0.csv,134926,134926,100.0,1959,8,5,2026-03-12T06:04:36.799138
traffic_parameters,116254,TRON-US/go-btfs,https://github.com/TRON-US/go-btfs,"{""host_num"": 7, ""pcap_size"": 30.55680751800537, ""flow_count"": 12, ""tcp_traffic"": {""80"": {""hosts"": 2, ""n_packets"": 40, ""flow_count"": 2, ""total_size"": 8920, ""traffic_end"": 0.8192379474639893, ""iana_mapping"": ""http"", ""traffic_start"": 0.7769558429718018, ""tshark_parsing"": [""data-text-lines"", ""http""], ""traffic_duration"": 0.0422821044921875}, ""443"": {""hosts"": 5, ""n_packets"": 6359, ""flow_count"": 8, ""total_size"": 31924434, ""traffic_end"": 45.00981092453003, ""iana_mapping"": ""https"", ""traffic_start"": 0.023985862731933594, ""tshark_parsing"": [""tls""], ""traffic_duration"": 44.985825061798096}}, ""udp_traffic"": {""5353"": {""hosts"": 1, ""n_packets"": 24, ""time_seen"": 1772535947.825538, ""flow_count"": 2, ""total_size"": 3585, ""traffic_end"": 32.747997999191284, ""iana_mapping"": ""mdns"", ""traffic_start"": 0.8039348125457764, ""tshark_parsing"": [""mdns""], ""traffic_duration"": 31.944063186645508}}, ""hostname_info"": [{""ip"": ""185.199.108.133"", ""source"": ""TLS_SNI"", ""hostname"": ""raw.githubusercontent.com""}, {""ip"": ""185.199.109.133"", ""source"": ""TLS_SNI"", ""hostname"": ""raw.githubusercontent.com""}, {""ip"": ""185.199.111.133"", ""source"": ""TLS_SNI"", ""hostname"": ""raw.githubusercontent.com""}, {""ip"": ""199.232.114.132"", ""source"": ""HTTP_HOST"", ""hostname"": ""deb.debian.org""}, {""ip"": ""199.232.114.132"", ""source"": ""HTTP_HOST"", ""hostname"": ""security.debian.org""}, {""ip"": ""20.205.243.166"", ""source"": ""TLS_SNI"", ""hostname"": ""github.com""}]}",http,"Sustained, high-volume TLS traffic (≈32 MB over ~45s) with SNI/Host headers for raw.githubusercontent.com, github.com and debian.org indicates ongoing HTTPS (HTTP over TLS) application traffic beyond initial download/DNS.",andromeda,,0,/home/bingcheng/dynamov2/stage3/pcap/TRON-US_go-btfs_andromeda_run_0.pcap,/mnt/NAS/dynamov2/cicflowmeter_output/TRON-US_go-btfs_andromeda_run_0.csv,210940,263213,80.14,3062,12,6,2026-03-12T06:04:15.620170
traffic_parameters,107995,PeterDaveHello/tor-socks-proxy,https://github.com/PeterDaveHello/tor-socks-proxy,"{""host_num"": 5, ""pcap_size"": 15.39501953125, ""flow_count"": 6, ""tcp_traffic"": {""9000"": {""hosts"": 2, ""n_packets"": 2213, ""flow_count"": 1, ""total_size"": 4740690, ""traffic_end"": 57.35867500305176, ""iana_mapping"": ""cslistener"", ""traffic_start"": 6.385470867156982, ""tshark_parsing"": [""tls""], ""traffic_duration"": 50.973204135894775}, ""9001"": {""hosts"": 2, ""n_packets"": 564, ""flow_count"": 2, ""total_size"": 885872, ""traffic_end"": 32.75931191444397, ""iana_mapping"": ""etlservicemgr"", ""traffic_start"": 1.318497896194458, ""tshark_parsing"": [""tls""], ""traffic_duration"": 31.44081401824951}, ""9100"": {""hosts"": 2, ""n_packets"": 3501, ""flow_count"": 1, ""total_size"": 10410325, ""traffic_end"": 57.86938691139221, ""iana_mapping"": ""hp-pdl-datastr"", ""traffic_start"": 6.385526895523071, ""tshark_parsing"": [""tls""], ""traffic_duration"": 51.48386001586914}}, ""udp_traffic"": {""5353"": {""hosts"": 1, ""n_packets"": 24, ""time_seen"": 1772479957.888575, ""flow_count"": 2, ""total_size"": 3585, ""traffic_end"": 33.01515984535217, ""iana_mapping"": ""mdns"", ""traffic_start"": 0.8349230289459229, ""tshark_parsing"": [""mdns""], ""traffic_duration"": 32.18023681640625}}, ""hostname_info"": [{""ip"": ""148.251.136.16"", ""source"": ""TLS_SNI"", ""hostname"": ""www.y2vep.com""}, {""ip"": ""162.19.79.247"", ""source"": ""TLS_SNI"", ""hostname"": ""www.ukaztfj6cqfgv.com""}, {""ip"": ""45.41.204.203"", ""source"": ""TLS_SNI"", ""hostname"": ""www.h3brt2hxrjteynu7upxg.com""}]}",http,"Multiple long-lived, high-volume TLS flows (ports 9000/9001/9100) with SNI hostnames and sustained traffic throughout the 60s — beyond initial download or DNS; mDNS is minor and not application traffic.",andromeda,,0,/home/bingcheng/dynamov2/stage3/pcap/PeterDaveHello_tor-socks-proxy_andromeda_run_0.pcap,/mnt/NAS/dynamov2/cicflowmeter_output/PeterDaveHello_tor-socks-proxy_andromeda_run_0.csv,901878,5332840,16.91,1893,8,5,2026-03-12T05:55:13.856756
traffic_parameters,101475,PeWe79/AzuraCast-Player,https://github.com/PeWe79/AzuraCast-Player,"{""host_num"": 3, ""pcap_size"": 3.657944679260254, ""flow_count"": 17, ""tcp_traffic"": {""443"": {""hosts"": 2, ""n_packets"": 4160, ""flow_count"": 15, ""total_size"": 3763212, ""traffic_end"": 57.9296350479126, ""iana_mapping"": ""https"", ""traffic_start"": 0.2843959331512451, ""tshark_parsing"": [""tls"", ""x509ce""], ""traffic_duration"": 57.64523911476135}}, ""udp_traffic"": {""5353"": {""hosts"": 1, ""n_packets"": 24, ""time_seen"": 1772691126.625054, ""flow_count"": 2, ""total_size"": 3585, ""traffic_end"": 33.09562706947327, ""iana_mapping"": ""mdns"", ""traffic_start"": 0.8834948539733887, ""tshark_parsing"": [""mdns""], ""traffic_duration"": 32.21213221549988}}, ""hostname_info"": [{""ip"": ""104.16.1.34"", ""source"": ""TLS_SNI"", ""hostname"": ""registry.npmjs.org""}]}",http,"Sustained TLS (HTTPS) traffic to registry.npmjs.org over ~57s with ~3.7MB transferred (many packets/flows), beyond brief download or DNS; mDNS is minor.",andromeda,,0,/home/bingcheng/dynamov2/stage3/pcap/PeWe79_AzuraCast-Player_andromeda_run_0.pcap,/mnt/NAS/dynamov2/cicflowmeter_output/PeWe79_AzuraCast-Player_andromeda_run_0.csv,294815,294815,100.0,1969,16,2,2026-03-12T05:50:53.680146
traffic_parameters,100807,moigagoo/karkas,https://github.com/moigagoo/karkas,"{""host_num"": 3, ""pcap_size"": 2.367733955383301, ""flow_count"": 4, ""tcp_traffic"": {""443"": {""hosts"": 2, ""n_packets"": 1696, ""flow_count"": 2, ""total_size"": 2449783, ""traffic_end"": 58.11922907829285, ""iana_mapping"": ""https"", ""traffic_start"": 0.5537540912628174, ""tshark_parsing"": [""data"", ""tls""], ""traffic_duration"": 57.56547498703003}}, ""udp_traffic"": {""5353"": {""hosts"": 1, ""n_packets"": 25, ""time_seen"": 1772847478.115829, ""flow_count"": 2, ""total_size"": 3654, ""traffic_end"": 32.77208709716797, ""iana_mapping"": ""mdns"", ""traffic_start"": 0.7542719841003418, ""tshark_parsing"": [""mdns""], ""traffic_duration"": 32.01781511306763}}, ""hostname_info"": [{""ip"": ""140.82.116.3"", ""source"": ""TLS_SNI"", ""hostname"": ""github.com""}]}",http,"Sustained, large TLS traffic on port 443 (≈2.45 MB over ~57s) with TLS SNI github.com indicates ongoing HTTPS application traffic; mDNS is ancillary.",andromeda,,0,/home/bingcheng/dynamov2/stage3/pcap/moigagoo_karkas_andromeda_run_0.pcap,/mnt/NAS/dynamov2/cicflowmeter_output/moigagoo_karkas_andromeda_run_0.csv,57285,57285,100.0,771,3,2,2026-03-12T05:50:43.465850
traffic_parameters,96929,NCI-GDC/gdc-frontend-framework,https://github.com/NCI-GDC/gdc-frontend-framework,"{""host_num"": 6, ""pcap_size"": 8.691072463989258, ""flow_count"": 31, ""tcp_traffic"": {""443"": {""hosts"": 5, ""n_packets"": 3823, ""flow_count"": 29, ""total_size"": 9046484, ""traffic_end"": 58.006836891174316, ""iana_mapping"": ""https"", ""traffic_start"": 0.017145872116088867, ""tshark_parsing"": [""tls""], ""traffic_duration"": 57.98969101905823}}, ""udp_traffic"": {""5353"": {""hosts"": 1, ""n_packets"": 25, ""time_seen"": 1772926598.075299, ""flow_count"": 2, ""total_size"": 3654, ""traffic_end"": 32.33133602142334, ""iana_mapping"": ""mdns"", ""traffic_start"": 0.8817639350891113, ""tshark_parsing"": [""mdns""], ""traffic_duration"": 31.44957208633423}}, ""hostname_info"": [{""ip"": ""104.83.196.244"", ""source"": ""TLS_SNI"", ""hostname"": ""assets.adobedtm.com""}, {""ip"": ""13.215.239.219"", ""source"": ""TLS_SNI"", ""hostname"": ""downloads.gauge.org""}, {""ip"": ""192.170.230.249"", ""source"": ""TLS_SNI"", ""hostname"": ""portal.gdc.cancer.gov""}, {""ip"": ""20.205.243.166"", ""source"": ""TLS_SNI"", ""hostname"": ""github.com""}]}",http,"Sustained TLS traffic on port 443 throughout the capture (≈9 MB over ~58s) to web hostnames (github.com, downloads.gauge.org, assets.adobedtm.com) indicates ongoing HTTPS application traffic beyond initial downloads.",andromeda,,0,/home/bingcheng/dynamov2/stage3/pcap/NCI-GDC_gdc-frontend-framework_andromeda_run_0.pcap,/mnt/NAS/dynamov2/cicflowmeter_output/NCI-GDC_gdc-frontend-framework_andromeda_run_0.csv,427844,427844,100.0,1641,30,5,2026-03-12T05:47:38.936846
